OBJECTID,TILENAME,DOWNLOAD_P,AVAILABLE,COMMTYPE,YEAR,NOTE,TILENUM,FIPS6,TOWNGEOID,MEETS_STD,ORIG_P,SHAPE_Length,SHAPE_Area
89,Saint George,https://maps.vcgi.vermont.gov/gisdata/vcgi/packaged_zips/CadastralParcels_VTPARCELS/VTPARCELS_Saint George.zip,Y,TOWN,2021-10-12,Updated by VCGI using best available information.,STGEORGE,7060,5000762050,Y, ,13449.8542624122,9515384.07114937
90,Newark,https://maps.vcgi.vermont.gov/gisdata/vcgi/packaged_zips/CadastralParcels_VTPARCELS/VTPARCELS_Newark.zip,Y,TOWN,2021-08-31,,NEWARK,5040,5000547725,Y,http://maps.vcgi.vermont.gov/gisdata/vcgi/packaged_zips/CadastralParcels_VTPARCELS/VTPARCELS_standardized/NEWARK/ORIG/VTPARCELS_NEWARK_2017.zip,39280.8039786093,96449475.5526031
91,South Hero,https://maps.vcgi.vermont.gov/gisdata/vcgi/packaged_zips/CadastralParcels_VTPARCELS/VTPARCELS_South Hero.zip,Y,TOWN,2021-12-14, ,SOUTHHERO,13025,5001367000,Y,http://maps.vcgi.vermont.gov/gisdata/vcgi/packaged_zips/CadastralParcels_VTPARCELS/VTPARCELS_standardized/SOUTHHERO/ORIG/VTPARCELS_SOUTHHERO_2017.zip,45962.9917005985,120234066.779047
92,Lunenburg,https://maps.vcgi.vermont.gov/gisdata/vcgi/packaged_zips/CadastralParcels_VTPARCELS/VTPARCELS_Lunenburg.zip,Y,TOWN,2021-09-02,Updated by VCGI using best available information.,LUNENBURG,9070,5000941425,Y, ,50989.8080165709,117730306.93237
93,Hyde Park,https://maps.vcgi.vermont.gov/gisdata/vcgi/packaged_zips/CadastralParcels_VTPARCELS/VTPARCELS_Hyde Park.zip,Y,TOWN,2021-08-25,,HYDEPARK,15025,5001535050,Y, ,43667.1528831227,101059618.351637
94,East Montpelier,https://maps.vcgi.vermont.gov/gisdata/vcgi/packaged_zips/CadastralParcels_VTPARCELS/VTPARCELS_East Montpelier.zip,Y,TOWN,2021-08-31,,EASTMONTPELIER,23035,5002321925,Y, ,40210.7777098307,82888349.1664588
95,Roxbury,https://maps.vcgi.vermont.gov/gisdata/vcgi/packaged_zips/CadastralParcels_VTPARCELS/VTPARCELS_Roxbury.zip,Y,TOWN,2021-09-02,,ROXBURY,23075,5002360625,Y,http://maps.vcgi.vermont.gov/gisdata/vcgi/packaged_zips/CadastralParcels_VTPARCELS/VTPARCELS_standardized/ROXBURY/ORIG/VTPARCELS_ROXBURY_2017.zip,41910.2249358494,108124978.35502
96,Hubbardton,https://maps.vcgi.vermont.gov/gisdata/vcgi/packaged_zips/CadastralParcels_VTPARCELS/VTPARCELS_Hubbardton.zip,Y,TOWN,2021-09-03, ,HUBBARDTON,21040,5002134450,Y,http://maps.vcgi.vermont.gov/gisdata/vcgi/packaged_zips/CadastralParcels_VTPARCELS/VTPARCELS_standardized/HUBBARDTON/ORIG/VTPARCELS_HUBBARDTON_2017.zip,34836.6618667495,74037624.5857034
97,Wells,https://maps.vcgi.vermont.gov/gisdata/vcgi/packaged_zips/CadastralParcels_VTPARCELS/VTPARCELS_Wells.zip,Y,TOWN,2021-08-31,,WELLS,21130,5002177950,Y, ,31559.9338352728,60104286.0953525
98,Readsboro,https://maps.vcgi.vermont.gov/gisdata/vcgi/packaged_zips/CadastralParcels_VTPARCELS/VTPARCELS_Readsboro.zip,Y,TOWN,2021-12-03, ,READSBORO,3040,5000358600,Y,http://maps.vcgi.vermont.gov/gisdata/vcgi/packaged_zips/CadastralParcels_VTPARCELS/VTPARCELS_standardized/READSBORO/ORIG/VTPARCELS_READSBORO_2017.zip,40554.8021707193,93968849.4584734
